,name,url,price,spec,exp,cat
1,Гибадулин Наиль Валерианович,https://prodoctorov.ru/moskva/vrach/362536-gibadulin/,7000,"Хирург, абдоминальный хирург, бариатрический хирург, онколог",30,"Высшая категория, Профессор"
4,Станкевич Владимир Романович,https://prodoctorov.ru/moskva/vrach/78782-stankevich/,2800,"Хирург, абдоминальный хирург, бариатрический хирург",25,"Высшая категория, Кандидат наук"
6,Луцевич Олег Эммануилович,https://prodoctorov.ru/moskva/vrach/64935-lucevich/,2000,"Хирург, абдоминальный хирург",44,"Высшая категория, Доктор наук"
9,Иванов Юрий Викторович,https://prodoctorov.ru/moskva/vrach/33393-ivanov/,4400,"Хирург, абдоминальный хирург, онколог",30,"Высшая категория, Профессор"
12,Смирнов Алексей Николаевич,https://prodoctorov.ru/moskva/vrach/31360-smirnov/,5500,"Абдоминальный хирург, детский хирург, проктолог (колопроктолог), хирург",48,"Высшая категория, Профессор"
15,Гусев Лев Леонидович,https://prodoctorov.ru/moskva/vrach/457771-gusev/,3000,"Хирург, абдоминальный хирург, онколог",15,"Высшая категория, Кандидат наук"
16,Клишин Иван Михайлович,https://prodoctorov.ru/moskva/vrach/295774-klishin/,2760,Абдоминальный хирург,16,"Высшая категория, Кандидат наук"
19,Супрун Алексей Юрьевич,https://prodoctorov.ru/moskva/vrach/224077-suprun/,1250,"Проктолог (колопроктолог), абдоминальный хирург, бариатрический хирург, хирург",17,"1 категория, Кандидат наук"
21,Елагин Илья Борисович,https://prodoctorov.ru/moskva/vrach/61431-elagin/,0,"Бариатрический хирург, абдоминальный хирург, хирург",21,"Высшая категория, Кандидат наук"
22,Михайлова Елена Викторовна,https://prodoctorov.ru/moskva/vrach/1006468-mihaylova/,0,"Проктолог (колопроктолог), абдоминальный хирург",29,"Высшая категория, Кандидат наук"
23,Аболмасов Алексей Валерьевич,https://prodoctorov.ru/moskva/vrach/665557-abolmasov/,0,"Хирург, абдоминальный хирург",29,"Высшая категория, Кандидат наук"
39,Горин Давид Семенович,https://prodoctorov.ru/moskva/vrach/294241-gorin/,0,"Хирург, абдоминальный хирург",17,"Высшая категория, Кандидат наук"
40,Ручкин Дмитрий Валерьевич,https://prodoctorov.ru/moskva/vrach/112765-ruchkin/,0,"Хирург, абдоминальный хирург",31,"Высшая категория, Доктор наук"
41,Щербаков Сергей Анатольевич,https://prodoctorov.ru/moskva/vrach/214074-sherbakov/,0,"Хирург, абдоминальный хирург, врач УЗИ, маммолог, онколог, флеболог, эндокринолог",29,"Высшая категория, Кандидат наук"
44,Приходько Екатерина Владимировна,https://prodoctorov.ru/moskva/vrach/79083-prihodko/,0,"Онколог-гинеколог, абдоминальный хирург, маммолог, онколог",31,"Высшая категория, Доктор наук"
45,Козлов Илья Анатольевич,https://prodoctorov.ru/moskva/vrach/294244-kozlov/,0,"Хирург, абдоминальный хирург, онколог",36,"Высшая категория, Доктор наук"
